"lemma","custom_pos","Frequency"
"arm","v",5
"shot","adj",1
"shot","n",11
"shot","v",10
"bow","adv",2
"bow","n",53
"bow","v",97
"keen","adj",33
"keen","n",8
"keen","v",2
"eyed","adj",8
"eyed","v",5
"sure","adj",93
"mark","n",43
"mark","v",31
"arrow","adj",2
"arrow","n",78
"stoop","n",6
"stoop","v",62
"stone","n",434
"stone","v",1
"quickly","adv",120
"cover","adj",11
"cover","n",23
"cover","v",61
"trespasse","v",3
"beasts","n",39
"originally","adv",3
"ground","n",238
"believe","v",91
"feel","n",12
"feel","v",459
"oblige","v",10
"adopt","v",4
"form","n",26
"form","v",9
"abode","adv",1
"abode","n",3
"abode","v",1
"richest","adj",1
"poorest","adj",1
"poorest","n",1
"go","adj",13
"go","adv",3
"go","interj",3
"go","n",9
"go","v",2411
"burrow","n",1
"burrow","v",3
"primitive","adj",1
"mere","adj",18
"mere","n",6
"mere","v",1
"holes","n",12
"window","adv",1
"window","n",145
"window","v",2
"none","n",149
"construct","v",1
"luxurious","adj",1
"version","n",2
"digging","n",1
"suitable","adj",3
"site","n",1
"ramifying","adj",1
"smicil","n",1
"everywhere","adv",13
"low","adj",91
"low","adv",36
"low","n",9
"low","v",3
"hilly","adj",1
"hilly","adv",1
"village","n",35
"chief","adj",37
"chief","n",22
"township","n",2
"wood","n",226
"brick","n",10
"specially","adv",5
"favour","n",8
"favour","v",3
"miller","n",7
"smith","n",9
"roper","n",1
"cartwrights","n",1
"sort","adv",1
"sort","n",51
"sort","v",1
"shed","n",11
"workshop","n",2
"building","n",17
"farmhouse","n",2
"barn","n",8
"inhabitant","n",11
"brandywine","n",7
"quarter","n",8
"quarter","v",1
"heavy","adj",138
"heavy","adv",1
"heavy","n",2
"leg","n",102
"leg","v",9
"dwarf","adj",50
"dwarf","conj",1
"dwarf","n",71
"dwarf","prep",1
"boot","n",20
"boot","v",2
"muddy","adj",4
"muddy","n",1
"muddy","v",1
"part","adj",2
"part","n",180
"part","v",30
"blood","n",51
"show","n",1
"show","v",120
"chin","n",1
"trace","n",14
"trace","v",4
"beard","n",27
"beard","v",3
"afterwards","adv",16
"afterwards","conj",6
"afterwards","n",6
"occupy","v",5
"up","adj",4
"up","adv",331
"up","interj",3
"up","n",21
"up","prep",1251
"up","v",9
"elsewhere","adv",10
"probable","adj",2
"beside","adv",11
"beside","n",2
"beside","prep",193
"beside","v",2
"direct","adj",9
"direct","v",5
"teacher","n",2
"youth","n",13
"forsake","adj",1
"forsake","v",7
"towers","n",53
"immemorial","adj",1
"see","adj",1
"see","n",5
"see","v",1868
"march","adv",1
"march","n",45
"march","v",71
"shine","n",10
"shine","pron",1
"shine","v",46
"off","adj",7
"off","adv",124
"off","n",7
"off","prep",376
"off","v",1
"moonlight","n",23
"tallest","adj",3
"tallest","n",4
"furthest","adj",5
"furthest","adv",1
"furthest","n",2
"stand","adj",3
"stand","n",10
"stand","v",642
"alone","adj",57
"alone","adv",129
"alone","n",1
"alone","v",1
"upon","conj",6
"upon","n",1
"upon","prep",829
"mound","n",28
"lop","n",2
"tower","n",109
"climb","n",9
"climb","v",161
"sail","n",12
"sail","v",14
"fewer","adj",4
"fewer","n",3
"regard","n",2
"regard","v",11
"rivers","n",16
"small","adj",249
"small","v",1
"boat","conj",1
"boat","n",113
"boat","v",1
"deep","adj",327
"deep","adv",12
"deep","n",44
"deep","v",9
"misgiving","n",3
"swim","v",9
"lengthen","v",6
"afraid","adj",102
"distrustful","adj",2
"dealings","n",14
"fear","adv",1
"fear","n",236
"fear","v",175
"token","n",31
"death","adv",1
"death","conj",1
"death","n",120
"hill","adj",17
"hill","adv",25
"hill","n",353
"hill","v",11
"usually","adv",18
"comfortable","adj",20
"oldest","adj",9
"imitation","n",4
"smial","n",5
"thatch","v",5
"dry","adj",31
"dry","n",10
"dry","v",16
"grass","conj",2
"grass","n",185
"grass","v",1
"straw","n",4
"roof","n",63
"roof","v",4
"turve","n",8
"bulge","v",1
"stage","n",21
"belong","prep",1
"belong","v",29
"alte","v",3
"improve","v",5
"device","n",20
"preference","n",1
"door","n",347
"peculiarity","n",1
"hobbit-architecture","n",1
"inhabit","v",5
"bachelor","n",1
